token,coordinates_lat,coordinates_lon,address,comment,explanation,time,status,group,categorie,approved,cityname
371F7590,48.38590285501459,-4.5119048196845934,"Rue de la Frégate Laplace, Brest",Proposer un contre-sens cyclable ?,"Pourquoi ne pas proposer un contre-sens cyclable sur cette courte portion de la rue (il y en a un sur la portion suivante de l'autre côté de la rue de Guilers), les vélos sont obligés de remonter pour redescendre ensuite vers la rue de Guilers, un cédez-le-passage pourrait ensuite permettre de reprendre la rue de Guilers sans faire de détour. ",1686144720,1,0,8,1,Brest
32FC146C,48.434539574331865,-4.501100778579713,"Chemin de Lostennic, Brest",Traversée dangereuse ,"Il est très dangereux de traverser la rue du Tromeur , 70km/h , en venant de la voie verte chemin de la ligne chemin de Lostennic  dans  les deux sens( il n’y a ni passage piéton ni pistes cyclables) Problème récurrent quelque soit l’heure. ",1685428380,0,0,8,1,Brest
EB3F1768,48.38673272551244,-4.470934644341469,"rd point herman melville, Brest",pb d insertion,"l aménagement est super,  une grande avancée a Brest mais le pb c est que les voitures ne laissent pas l accès aux vélos pour qu il puissent entrer sur le rond point, impossible de passer a gauche sans empiéter sur la.voie d en face...",1684163460,0,0,8,1,Brest
CE8F870B,48.38747467145252,-4.4770628213882455,"Rue Poullic Al Lor, Brest",Absence de trottoir,,1681050960,0,0,8,1,Brest
F4D753AA,48.4022149826915,-4.492029001716181,"Rue Marcel Sembat, Brest",Trottoir impraticable depuis des mois.,"Trottoir défoncé par les camions livrant des matériaux, puis défoncé par la pelleteuse creusant les fondations, puis interdit d'accès par des grilles. Où les enfants, les personnes âgées et les PMR sont ils censés passer ?",1675073700,0,0,8,1,Brest
40FBF5B1,48.40211174589075,-4.48873445391655,"Rue Auguste Kervern, Brest",Aménagements cyclables prévus ? ,"Aménagements cyclables de prévus ? 
Rappelons que l'article de loi L228 de la loi Laure indique que toute réfection de voirie doit obligatoirement prévoir des aménagements cyclables.",1665509400,3,0,8,1,Brest
BF380A40,48.39031492242171,-4.491557478904724,"Rue de Lyon, Brest.",Pas de bande cyclable. ,rue assez large ne disposant pas d'aménagements cyclables. ,1665249660,0,0,8,1,Brest.
FAA931F6,48.403994371926466,-4.497075453400612,"Professeur Langevin, Brest",absence de bande cyclable.,Il n'y a pas d'aménagements cyclables. Le sens de la montée est à aménager de façon prioritaire. On constate en effet à cet endroit des voitures qui peuvent dépasser dangereusement les cyclistes montant la côte. ,1665132240,0,0,8,1,Brest
6A2F06A8,48.404106330111496,-4.4963472336530685,"Joseph le Borgne, Brest",Aménagements prévus ? ,"Rue actuellement en travaux. L'article de Loi L228, de la loi Laure stipule que la voirie doit faire l'objet d'aménagements pour les vélos après travaux. 
Il a également été remonté par certains riverains, qu'il serait bon de limiter la vitesse (stop, zone 30, ralentisseur .... ). Il y a de quoi réfléchir à une cohabitation voiture-piéton-vélo, mais pour cela il faudra quelques aménagements. Est-ce au menu du jour ? ",1665132240,0,0,8,1,Brest
DFE92076,48.40029518976901,-4.480251954523882,"Rue Paul Masson, Brest",Manque un passage piéton ,,1662741480,0,0,8,1,Brest
C9372CBC,48.38439945289911,-4.489460326731205,"Rue Neptune, Brest",pas d'aménagements après travaux. ,"La rue Neptune était en travaux l'été 2022pour l'extension du réseau de chauffage urbain. A ce jour, aucun aménagement cyclable n'a éte mis en place. 
Suggestion : bande cyclable à contresens de la voie pour les voitures. ",1660773600,0,0,8,1,Brest
1CFBAE7C,48.39381204686354,-4.474657885730267,"Rue Richelieu, Brest",Marquage effacé -Absence aménagement,"Le marquage de la bande cyclable dans le sens de la montée est quasiment effacé et mériterait un petit coup de peinture. 
Il n'y a pas de bande cyclable dans le sens de la descente, on pourrait tout de même envisager un chaussée-doux. ",1660773600,0,0,8,1,Brest
EBD26F94,48.38605517678904,-4.4854893162846565,"Rue Voltaire., Brest","Voirie en travaux, bandes cyclables prévues ?? "," La rue Voltaire était en travaux l'été 2022 pour l'extension du réseau de chauffage urbain. A ce jour, aucun aménagement cyclable n'a éte mis en place. Non respect de l'article L228-2 du code de l'environnement. 
Suggestion : Deux bandes cyclables. ",1660752540,0,0,8,1,Brest
9240C947,48.393387720537696,-4.494968578219414,"Rue Portzmoguer, Brest.",Pas d'aménagements après travaux. ,"La rue de Portzmoguer était en travaux au cours de l'année 2022. A ce jour, aucun aménagement cyclable n'a été mis en place, dans les sens de la montée et de la descente. 
Suggestion : Une bande cyclable dans le sens de la montée. Une bande cyclable dans le sens de la descente. 
Rappelons que la loi oblige la mise en place d'aménagements cyclables après des travaux de voiries. (Art L 228-2 du code de l'environnement). ",1660669800,1,0,8,1,Brest.
D9E39960,48.388006750968295,-4.4854044914245605,"Rue Colbert, Brest","Travaux récents, pas d'aménagements.","Les travaux rue Colbert pour le réseau de chauffage se sont terminés il y a quelques semaines. On constate qu'aucun aménagement cyclable n'est mis en place. L'article L-228 du code de l'environnement stipule que la voirie doit comporter des aménagements cyclables après travaux. Ici, il manque notamment deux bandes cyclables. ",1658247060,0,0,8,1,Brest
3F3A246B,48.40364647643094,-4.48055036365986,"Rue Danielle Casanova, Brest",Aménagements prévus ? ,La rue Danielle Casanova est en travaux. Il faut que des aménagements cyclables soient mis en place à la fin des travaux. A vérifier une fois les travaux terminés dans quelques semaines. Il faudra ajouter deux bandes cyclables. Rappelons que l'article L228 du code de l'environnement indique que la voirie doit disposer d'aménagements cyclables. ,1658241300,0,0,8,1,Brest
