token,latitude,longitude,address,comment,explanation,time,categorie,cityname
7A2D0349,43.608821110056866,3.8487704470753674,"Avenue de la Liberté, Montpellier",nbrx morceaux de verre sur la largeur de la piste,,2024-05-25 14:36:00,9,Montpellier
14DA3579,43.63767712252207,3.8305941224098206,"Ligne 9, Montpellier",végétation jamais entretenue,,2024-05-22 11:48:00,4,Montpellier
AA1CA063,43.60602222222222,3.8730777777777776,"Cours Gambetta, Montpellier",Roue dans les Rails du tram,La personne venait d’une rue perpendiculaire et s’est tapé la tête contre la margelle,2024-05-16 11:55:00,9,Montpellier
AF00A88E,43.61792,3.88207,"Rue de la Cavalerie, Montpellier",stationnement gênant récurrent ,stationnement gênant sur le trottoir systématique rendant le passage des piétons impossible. Obligé de passer sur la route.,2024-05-15 19:03:00,2,Montpellier
B9B3C9BA,43.59616605583544,3.8976889103651047,"Rue des Acconiers, Montpellier",Risque de chute ,Poteau anti-stationnement en travers de la piste,2024-05-11 17:32:00,2,Montpellier
1441837B,43.598695142976176,3.904833644628525,"Avenue Nina Simone, Montpellier",Road to nowhere,,2024-05-08 15:34:00,3,Montpellier
CA159445,43.69645,3.8102,"Rue de Coulondres, Saint-Gély-du-Fesc",Véhicule stationné sur piste cyclable ,,2024-05-08 09:29:00,2,Saint-Gély-du-Fesc
CA467DD0,43.61932,3.88588,"Rue du Jeu de Mail des Abbés, Montpellier",dégradation de l'aménagement cyclable ,l'aménagement a été dégradé et laissé au milieu de la piste dans l'objectif de garer des véhicules sur le trottoir (visible en arrière plan),2024-05-08 09:19:00,2,Montpellier
4C122262,43.63637847008788,3.8750205561518665,"Rue Antoine-Laurent Jussieu, Montpellier","Ben oui mais il travaille, lui!!",,2024-05-06 06:23:00,2,Montpellier
E7524E86,43.636355903569935,3.8751389086246486,"Rue Antoine-Laurent Jussieu, Montpellier","Ecole, pietons/enfants peuvent prendre la chaussé",,2024-05-06 06:23:00,2,Montpellier
2A49C46A,43.63648159654065,3.874800615012646,"Rue Antoine-Laurent Jussieu, Montpellier",devant l'école. Piétons/enfants ne passent pas,,2024-05-06 06:23:00,2,Montpellier
43B37741,43.69389419243387,3.809375166893006,"Rue du Devois, Saint-Gély-du-Fesc",Véhicule stationné sur piste cyclable ,,2024-05-04 09:06:00,2,Saint-Gély-du-Fesc
DF49EA9D,43.588218989824,3.8722310587763786,"Avenue de Maurin, Montpellier",ralentisseurs gênants ? Empruntez la BC,"Des ralentisseurs ont été installés avec juste assez de place pour les chauffeurs de passer à côté, sur la piste cyclable ! C'est hyper dangereux, car c'est un endroit où tout le monde roule excessivement vite",2024-05-03 14:48:00,3,Montpellier
4D581E43,43.63613460565436,3.8598808273673058,"Avenue Abbé Paul Parguel, Montpellier",plots en bétons en plein milieu rétrécissant la,"La piste cyclable est étroite et couplée avec des plots en béton au milieu, ce qui entrave la circulation, surtout pour les carrioles. En descente, ces obstacles deviennent particulièrement dangereux et gênants. 
J'ai malheureusement pu en faire l'expérience lors du déséquilibre de la carriole en voulant éviter le plot, occasionnant un choc physique et émotionnel pour mes enfants.
Serait il possible de changer ces plots par des poteaux qui seraient moins larges par exemple ?

",2024-05-03 06:26:00,3,Montpellier
115CBC13,43.60754489701478,3.896704574121471,"Avenue du Pirée, Montpellier",absence de signalisation sur espace partagé,espace partagé piéton/cycliste. un marquage au sol pour définir un espace pour les piéton et un espace cycliste serait bienvenu,2024-05-01 08:12:00,6,Montpellier
DA13E990,43.69402777777778,3.8094055555555553,"Rue du Devois, Saint-Gély-du-Fesc","Véhicule stationné en travers, sur piste cyclabl",,2024-04-21 09:53:00,2,Saint-Gély-du-Fesc
51740784,43.61237212684319,3.870022594928741,"Place Jacques Mirouze, Montpellier",pas de place pour la piscine ,,2024-04-16 06:54:00,8,Montpellier
FC9A4826,43.6009499,3.8804425,"Boulevard Rabelais, Montpellier",Défaut de la chaussé sur bande,Défaut de chaussé emmenant les usagers de la bande cyclable à se déporter inopinément sur la voie motorisé ce qui apporte un danger supplémentaire sur un boulevard déjà surchargé en véhicule motorisé.,2024-04-08 15:37:00,4,Montpellier
42F6E04B,43.596538888888894,3.9224527777777776,"Place Françoise Héritier, Montpellier",Squouate de l’espace piéton vélo OKLM,,2024-04-03 12:14:00,2,Montpellier
480D3466,43.6008,3.89295,"Avenue du Petit Train, Montpellier",rebord du trottoir très dangereux pour virage à ,,2024-04-02 06:40:00,3,Montpellier
E3B79D4F,43.66135125488785,3.9750599116086964,"Avenue Mendès France, Vendargues",égoïsme ,,2024-03-23 17:21:00,2,Vendargues
FA7BDFC7,43.65886846360422,3.972467556595802,"Rue du Stade, Vendargues",encore le même GCUM #coachfootball,,2024-03-22 17:22:00,2,Vendargues
8F0414E1,43.655721167076656,3.917360901832581,"Impasse Le Ribet, Jacou",espacement trop serré pour vélo volumineux ,Les bornes sont trop rapprochées pour passer facilement avec un vélo cargo ou avec un vélo plus carriole. C'est assez dangereux si on reste bloqué sur le passage et que des voitures arrivent en même temps on reste au final coincé en travers de la route. ,2024-03-20 22:33:01,3,Jacou
B9EAB99C,43.65346859600572,3.9190386235713954,"Chemin de Caylus, Castelnau-le-Lez",Barrières trop rapprochées passage carriole ,Il y a 2 paires de barrière trop rapprochées au niveau du passage à niveau du tramway. Il est impossible de passer en restant sur le vélo avec une carriole. On doit systématiquement descendre à pied et c'est très difficile de manœuvrer. Ma fille de 4 ans est tombée sur les rails en vélo par inadvertance et j'ai eu du mal à l'aider car j'étais bloqué à manœuvrer mon vélo avec la carriole. De plus la signalétique au vert pour le passage piéton vélo est beaucoup trop court pour laisser un temps raisonnable pour traverser avant l'arrivée du tramway. ,2024-03-20 22:24:03,3,Castelnau-le-Lez
6D94236F,43.6016298,3.883847,"Boulevard Rabelais, Montpellier","Peu de signalisation sur route refaite, danger",,2024-03-20 13:01:00,6,Montpellier
FE860712,43.6001625,3.8779522,"Boulevard Vieussens, Montpellier",bande cyclable trop étroite + marquage effacé,Pont Boulevard Vieussens,2024-03-19 17:03:00,3,Montpellier
839C0E23,43.614,3.87821,"sainte Ursule , Montpellier",nombreux et de plus en plus de scooters sur les a,,2024-03-19 11:12:00,2,Montpellier
B93CBF6E,43.61222842008971,3.84572546929121,"Avenue de Lodève, Montpellier",deux livreurs garés sur la pc,,2024-03-15 08:28:00,2,Montpellier
007B7CC6,43.598990754662026,3.8884668471291666,"Rue Émile Gaboriau, Montpellier",trou au milieu du trottoir,,2024-03-07 13:42:00,4,Montpellier
55ED0ECD,43.60452115693811,3.88689637184143,"Rue de la Méditerranée, Montpellier",,,2024-03-06 08:36:00,2,Montpellier
1965A1B6,43.6282,3.81652,"Place Gabriel Monnet, Montpellier",arceaux vélos bloqués mairie de la mossob,,2024-03-05 09:02:00,2,Montpellier
C1572600,43.616836864520444,3.8973741540513593,"Avenue de la Pompignane, Montpellier",Comme d hab,,2024-03-04 16:17:00,2,Montpellier
D23C33AA,43.600322,3.8782818,"Boulevard Vieussens, Montpellier",Marquage effacé,Marquage effacé pour la bande cyclable et aussi sur la bande centrale pour les voitures qui se déportent donc sur la droite,2024-03-01 15:57:00,6,Montpellier
217717F3,43.59369198323899,3.904128558933735,"Allée de la Méditerranée, Montpellier",panneau vandalisé,,2024-02-29 09:28:00,4,Montpellier
19245A19,43.59381145203195,3.904099389910698,"Allée de la Méditerranée, Montpellier",panneaux vandalisés ,,2024-02-29 09:27:00,4,Montpellier
7E9352C6,43.60788768316615,3.8905525580048566,"Rue Léon Blum, Montpellier","Tournage d'un film, donc au milieu !",,2024-02-26 17:19:00,2,Montpellier
A7B59C59,43.5913406822852,3.9061988890171055,"Avenue Raymond Dugrand, Montpellier",panneau à terre ,,2024-02-26 08:55:00,4,Montpellier
40AA2391,43.65887913623664,3.972483985126019,"Rue du Stade, Vendargues",GCUM,,2024-02-24 16:52:00,2,Vendargues
137A3ACD,43.65856720351557,3.9712129533290863,"Rue de la Cadoule, Vendargues",et les piétons ?,,2024-02-24 16:50:00,2,Vendargues
8FBB47B7,43.60584526062039,3.889573886990547,"Rue de Montréal, Montpellier",Intersection Blum / Montréal : panneau cyclable H,,2024-02-19 17:22:00,6,Montpellier
CB698FB6,43.60983171951053,3.8966897875070567,"Allée Alegria Beracasa, Montpellier","Panneau cyclable HS, percuté par un livreur ",,2024-02-15 10:52:00,6,Montpellier
CE970A25,43.61323921503531,3.8743677735328674,"Rue du Cardinal de Cabrières, Montpellier","À cause de travaux, impossible de stationner un v",,2024-02-14 10:01:00,5,Montpellier
FB55F331,43.624615069584365,3.887493498623371,"Avenue de Castelnau, Montpellier",véhicule garé sur piste cyclable,,2024-02-13 11:26:00,2,Montpellier
FFEA259E,43.620422222222224,3.897463888888889,"Avenue de la Pompignane, Montpellier",Garée sur piste cyxlable,,2024-02-12 12:04:00,2,Montpellier
AC866C26,43.65836733286422,3.961816839873791,"Route de Jacou, Vendargues",warnings d'immunité ,,2024-02-12 07:18:00,2,Vendargues
63812A40,43.61053304287373,3.849704191088676,"Avenue de Lodève, Montpellier",bordure saillante de 2cm invisible dangereuse,"voie cyclable avenue de lodeve, en bout de ligne droite au carrefour avec la rue de la taillade, nouvel aménagement créant une chicane pour les cyclistes avec une bordure en débord de 2cm invisible. Le piège parfait pour une chute à vélo. Rue de la taillade ils ont pourtant fait une transition inclinée sécuritaire entre le trottoir et la voie cyclable.",2024-02-09 15:30:00,3,Montpellier
